Plant Type,SPDES Permit Number,Facility Name,Ground or Surface,Average Design Hydraulic Flow,Street,City,State,Country,Zip Code,Latitude,Longitude,Location 1,Georeference
Industrial,NY0264431,"Byram Concrete & Supply, LLC",Ground,0.00,31 FIELDS LN,BREWSTER,NY,USA,,41.36,-73.61,"(41.36, -73.61)",POINT (-73.61 41.36)
Industrial,NY0231681,SYRACUSE LLC,Surface,0.17,300 BELLE ISLE RD,SOLVAY,NY,USA,13209,43.07,-76.22,"(43.07, -76.22)",POINT (-76.22 43.07)
Industrial,NY0160873,NYSDOT- SUB RESIDENCY KANONA,Ground,0.00,7909 ST RTE 53,BATH,NY,USA,14810,42.39,-77.36,"(42.39, -77.36)",POINT (-77.36 42.39)
Industrial,NY0226653,STOP AND WASH LAUNDROMAT CORP,Ground,0.03,432 SUFFOLK AVE,BRENTWOOD,NY,USA,11717,40.78,-73.26,"(40.78, -73.26)",POINT (-73.26 40.78)
Industrial,NY0098400,FILTROS LTD,Ground,0.00,603 W COMMERCIAL ST,EAST ROCHESTER,NY,USA,14445,43.12,-77.50,"(43.12, -77.5)",POINT (-77.5 43.12)
Industrial,NY0265276,AGRI-CYCLE COMPOSTING FACILITY,Surface,0.00,BELLE RD,BUSKIRK,NY,USA,12028,42.98,-73.43,"(42.98, -73.43)",POINT (-73.43 42.98)
Industrial,NY0256188,X-PLO INC SAND & GRAVEL PIT,Ground,,KELLY RD,SCHUYLER FALLS,NY,USA,12985,44.67,-73.52,"(44.67, -73.52)",POINT (-73.52 44.67)
Municipal,NY0215198,WINDSOR ESTATES WWTP,Surface,0.02,35 BRISTOL DR,MIDDLETOWN,NY,USA,10941,41.45,-74.32,"(41.45, -74.32)",POINT (-74.32 41.45)
Industrial,NY0250643,DONOVAN FIVE BMAC,Ground,0.00,8 NANCY CT,WAPPINGERS FALLS,NY,USA,12590,41.61,-73.84,"(41.61, -73.84)",POINT (-73.84 41.61)
Industrial,NY0218481,HINCKLEY RESERVOIR WATER TREATMENT PLANT,Both,0.95,OLD QUARRY RD OFF PROSPECT-TRENTON FALLS RD,TRENTON,NY,USA,,43.29,-75.15,"(43.29, -75.15)",POINT (-75.15 43.29)
Industrial,NY0257206,FORMER MONARCH CHEMICALS,Surface,0.06,37 MEADOW ST,UTICA,NY,USA,13503,43.11,-75.22,"(43.11, -75.22)",POINT (-75.22 43.11)
Industrial,NY0226980,NBTY - Capsuleworks,Ground,,10 VITAMIN DR,BAYPORT,NY,USA,,40.76,-73.05,"(40.76, -73.05)",POINT (-73.05 40.76)
Industrial,NY0256323,LITTLE SIMON POND WATER FILTRATION PLANT,Ground,0.00,LITTLE SIMOND RD,TUPPER LAKE,NY,USA,12986,44.19,-74.46,"(44.19, -74.46)",POINT (-74.46 44.19)
Industrial,NY0160423,SHELBY CRUSHED STONE INC,Surface,0.02,10830 BLAIR RD,MEDINA,NY,USA,14103,43.19,-78.42,"(43.19, -78.42)",POINT (-78.42 43.19)
Industrial,NY0226700,LAUNDRY KING OF CORAM,Ground,0.04,1 MIDDLE COUNTRY RD,CORAM,NY,USA,11727,40.87,-72.98,"(40.87, -72.98)",POINT (-72.98 40.87)
Municipal,NY0023973,NISKAYUNA - T SD 6 WWTP,Surface,3.00,2913 WHITMYER RD,SCHENECTADY,NY,USA,12309,42.80,-73.86,"(42.8, -73.86)",POINT (-73.86 42.8)
Industrial,NY0101338,NEW HAMBURG TERMINAL,Surface,0.00,17 POINT ST,NEW HAMBURG,NY,USA,12590,41.59,-73.95,"(41.59, -73.95)",POINT (-73.95 41.59)
Municipal,NY0020231,SCHROON LAKE WWTP,Surface,0.35,49 FOWLER AVE,SCHROON LAKE,NY,USA,12870,43.84,-73.76,"(43.84, -73.76)",POINT (-73.76 43.84)
Municipal,NY0027618,WETZEL RD WASTEWATER TREATMENT PLANT,Surface,7.00,4020 WETZEL RD,LIVERPOOL,NY,USA,13090,43.15,-76.24,"(43.15, -76.24)",POINT (-76.24 43.15)
Municipal,NY0023256,HOLLEY - V STP,Surface,0.45,FRISBEE TERR,HOLLEY,NY,USA,14470,43.23,-78.02,"(43.23, -78.02)",POINT (-78.02 43.23)
Industrial,NY0004413,Sylvamo Ticonderoga Mill,Surface,14.52,568 SHORE AIRPORT RD,TICONDEROGA,NY,USA,12883,43.89,-73.40,"(43.89, -73.4)",POINT (-73.4 43.89)
Industrial,NY0000418,MORTON SALT INC,Surface,0.20,45 RIBAUD AVE E,SILVER SPRINGS,NY,USA,14550,42.66,-78.08,"(42.66, -78.08)",POINT (-78.08 42.66)
Industrial,NY0028550,ROCHESTER TERMINAL -  NORTH ALBANY TERMINAL CO LLC,Surface,,1935 LYELL AVE,ROCHESTER,NY,USA,14606,43.16,-77.68,"(43.16, -77.68)",POINT (-77.68 43.16)
Industrial,NY0150100,CHARLES RIVER LABORATORY,Surface,0.02,3121 NYS RTE 209,STONE RIDGE,NY,USA,12484,41.87,-74.12,"(41.87, -74.12)",POINT (-74.12 41.87)
Industrial,NY0001368,GREAT LAKES INDUSTRIAL DEVELOPMENT LLC,Surface,0.12,3043 Lake Shore Rd,Blasdell,NY,USA,14219,42.80,-78.85,"(42.8, -78.85)",POINT (-78.85 42.8)
Municipal,NY0029807,CANASTOTA - V WPCP,Surface,1.73,715 N MAIN ST,CANASTOTA,NY,USA,13032,43.10,-75.76,"(43.1, -75.76)",POINT (-75.76 43.1)
Industrial,NY0078956,REG 9 HWY MNT COBLESKILL,Surface,0.00,310 MINERAL SPRINGS RD,COBLESKILL,NY,USA,12043,42.67,-74.49,"(42.67, -74.49)",POINT (-74.49 42.67)
Industrial,NY0259462,WAWAYANDA TOWN GARAGE,Surface,0.00,80 RIDGEBURY HILL RD,WAWAYANDA,NY,USA,,41.39,-74.46,"(41.39, -74.46)",POINT (-74.46 41.39)
Municipal,NY0026158,BOWERY BAY WASTEWATER RESOURCE RECOVERY FACILITY,Surface,150.00,43-10 BERRIAN BLVD,ASTORIA,NY,USA,11105,40.78,-73.89,"(40.78, -73.89)",POINT (-73.89 40.78)
Industrial,NY0084689,MARKIN TUBING,Ground,0.02,1 MARKIN LN,WYOMING,NY,USA,14591,42.84,-78.05,"(42.84, -78.05)",POINT (-78.05 42.84)
Industrial,NY0160521,L C RANOUS #1,Ground,,MCGOVERN RD,CALEDONIA,NY,USA,14423,42.94,-77.87,"(42.94, -77.87)",POINT (-77.87 42.94)
Industrial,NY0264911,PELLEH POULTRY,Ground,,522 HAPPY AVE,BETHEL,NY,USA,12783,41.71,-74.86,"(41.71, -74.86)",POINT (-74.86 41.71)
Municipal,NY0085693,SCSD #16 - YAPHANK COUNTY CENTER STP,Ground,0.25,490 OAK ST,YAPHANK,NY,USA,11980,40.81,-72.92,"(40.81, -72.92)",POINT (-72.92 40.81)
Industrial,NY0229172,EAGLE ISLAND WATER SUPPLY,Surface,0.00,EAGLE ISLAND,HURON,NY,USA,,43.26,-76.95,"(43.26, -76.95)",POINT (-76.95 43.26)
Municipal,NY0036749,MINETTO - T WPCP,Surface,0.20,2086 SNELL RD,MINETTO,NY,USA,13115,43.40,-76.48,"(43.4, -76.48)",POINT (-76.48 43.4)
Industrial,NY0238040,SMITHTOWN LAUNDROMAT,Ground,,540 SMITHTOWN BYPASS,SMITHTOWN,NY,USA,11787,40.83,-73.20,"(40.83, -73.2)",POINT (-73.2 40.83)
Industrial,NY0218367,BUCKEYE MARCY TERMINAL,Surface,,9586 River Rd,Marcy,NY,USA,13403,43.13,-75.25,"(43.13, -75.25)",POINT (-75.25 43.13)
Industrial,NY0270288,FORT DRUM,Surface,0.12,HQ  10TH MTN DIV (LI)|RANGE 50,LEWIS & JEFFERSON CO,NY,USA,13601,44.23,-75.55,"(44.23, -75.55)",POINT (-75.55 44.23)
Industrial,NY0244597,LOCKHEED MARTIN - FORMER IBM OWEGO,Surface,,LAKEVIEW PKWY|GROUNDWATER TREATMENT FACILITY,OWEGO,NY,USA,13827,42.10,-76.23,"(42.1, -76.23)",POINT (-76.23 42.1)
Industrial,NY0072371,CSX SELKIRK YARD,Surface,0.15,ST RTE 32 EXTENDING SOUTH & EAST TO US RTE 9W,FEURA BUSH TO SELKIRK,NY,USA,12158,42.56,-73.85,"(42.56, -73.85)",POINT (-73.85 42.56)
Industrial,NY0007676,UNITED METRO TERM-498 KINGSLAND AVE,Surface,0.00,498 KINGSLAND AVE,BROOKLYN,NY,USA,11222,40.73,-73.94,"(40.73, -73.94)",POINT (-73.94 40.73)
Municipal,NY0033511,CASTORLAND WASTEWATER TREATMENT FAC,Surface,0.05,ST RTE 410 - NW SIDE JUST SW OF RIVER,CASTORLAND,NY,USA,13620,43.89,-75.51,"(43.89, -75.51)",POINT (-75.51 43.89)
Industrial,NY0001899,NIAGARA SPECIALTY METALS INC,Surface,0.07,12600 CLARENCE CENTER RD,AKRON,NY,USA,14001,43.01,-78.51,"(43.01, -78.51)",POINT (-78.51 43.01)
Industrial,NY0204480,BUFFALO TERMINAL,Surface,0.01,625 ELK ST,BUFFALO,NY,USA,14210,42.86,-78.83,"(42.86, -78.83)",POINT (-78.83 42.86)
Industrial,NY0028495,SPRAGUE OPERATING RESOURCES LLC,Surface,0.01,1 BAY BLVD,LAWRENCE,NY,USA,11559,40.63,-73.74,"(40.63, -73.74)",POINT (-73.74 40.63)
Industrial,NY0100846,CITY OF ONEIDA WATER TREATMENT PLANT,Surface,0.10,10176 GLENMORE RD,ANNSVILLE,NY,USA,,43.35,-75.62,"(43.35, -75.62)",POINT (-75.62 43.35)
Industrial,NY0162370,PILON SANDSTONE MINE,Surface,0.01,ALLENS BRIDGE RD,ALBION,NY,USA,14411,43.23,-78.27,"(43.23, -78.27)",POINT (-78.27 43.23)
Industrial,NY0200867,NYCDOS - FRESH KILLS LANDFILL,Surface,5.21,310  W SERVICE RD,STATEN ISLAND,NY,USA,10314,40.58,-74.19,"(40.58, -74.19)",POINT (-74.19 40.58)
Industrial,NY0149390,KENT RESIDENT ENGINEER'S HQ,Surface,,106 LUDINGTONVILLE RD,HOLMES,NY,USA,12531,41.48,-73.65,"(41.48, -73.65)",POINT (-73.65 41.48)
Industrial,NY0230791,CHAMPLAIN TOWN HALL AND GARAGE,Ground,0.00,ROUTE 9,CHAMPLAIN,NY,USA,12919,44.96,-73.44,"(44.96, -73.44)",POINT (-73.44 44.96)
Industrial,NY0215775,GREAT LAKES CHEESE OF NEW YORK INC,Surface,,23 PHELPS ST,ADAMS,NY,USA,13605,43.81,-76.03,"(43.81, -76.03)",POINT (-76.03 43.81)
Industrial,NY0200808,NARROWS GENERATING STATION,Surface,,53RD ST & FIRST AVE|4 WHALE SQUARE,BROOKLYN,NY,USA,11232,40.65,-74.03,"(40.65, -74.03)",POINT (-74.03 40.65)
Industrial,NY0280984,BUTTERHILL PARK WATER SYSTEM,Surface,,181 Forge Hill Rd,New Windsor,NY,USA,12553,41.46,-74.04,"(41.46, -74.04)",POINT (-74.04 41.46)
Industrial,NY0001325,GREENIDGE STATION,Surface,190.80,590 PLANT RD,DRESDEN,NY,USA,14441,42.68,-76.95,"(42.68, -76.95)",POINT (-76.95 42.68)
Industrial,NY0243787,PENN-YORK GAS STORAGE FIELD,Ground,,HALLSPORT-INDEPENDENCE RD,INDEPENDENCE,NY,USA,,42.09,-77.82,"(42.09, -77.82)",POINT (-77.82 42.09)
Municipal,NY0020559,WEEDSPORT (V) WWTP,Surface,0.55,2601 EARL ST,WEEDSPORT,NY,USA,13166,43.05,-76.57,"(43.05, -76.57)",POINT (-76.57 43.05)
Industrial,NY0008575,ONTARIO WTP,Surface,0.70,1633 RATHBURN RD,OSWEGO,NY,USA,13126,43.43,-76.52,"(43.43, -76.52)",POINT (-76.52 43.43)
Industrial,NY0201278,TULLY ENVIRONMENTAL INC,Surface,,127-20 34TH AVE,FLUSHING,NY,USA,11368,40.76,-73.84,"(40.76, -73.84)",POINT (-73.84 40.76)
Municipal,NY0031089,WAVERLY - V STP,Surface,0.85,424 CAYUTA AVE (ST RTE 34),WAVERLY,NY,USA,14892,42.00,-76.52,"(42.0, -76.52)",POINT (-76.52 42)
Municipal,NY0020567,LONG BEACH WATER POLLUTION CONTROL PLANT,Surface,7.50,2 W PINE ST|59-278-29,LONG BEACH,NY,USA,11561,40.59,-73.67,"(40.59, -73.67)",POINT (-73.67 40.59)
Municipal,NY0021539,CHITTENANGO - V STP,Surface,1.30,TOWPATH RD,CHITTENANGO,NY,USA,13037,43.06,-75.88,"(43.06, -75.88)",POINT (-75.88 43.06)
Industrial,NY0106305,WAYNE COUNTY EGGS LLC,Ground,0.00,6864 WADSWORTH RD,WOLCOTT,NY,USA,14590,43.25,-76.79,"(43.25, -76.79)",POINT (-76.79 43.25)
Municipal,NY0026620,GLEN COVE WASTEWATER TREATMENT FACILITY,Surface,5.50,100 MORRIS AVE,GLEN COVE,NY,USA,11542,40.86,-73.64,"(40.86, -73.64)",POINT (-73.64 40.86)
Industrial,NY0212105,CITGO HOLDING TERMINALS LLC GLENMONT TERMINAL,Surface,,495 RIVER RD,GLENMONT,NY,USA,12077,42.59,-73.77,"(42.59, -73.77)",POINT (-73.77 42.59)
Industrial,NY0233781,GLOBAL COMPANIES LLC - NEWBURGH-NORTH TERMINAL,Surface,,1281 RIVER RD,New Windsor,NY,USA,12553,41.48,-74.10,"(41.48, -74.1)",POINT (-74.1 41.48)
Municipal,NY0023604,NORFOLK SD 1,,,Co Rte 38,Norfolk,NY,USA,13667,44.80,-75.00,"(44.8, -75.0)",POINT (-75 44.8)
Industrial,NY0264415,KINGSTON-RHINECLIFF BRIDGE,Surface,0.00,ST RTE 199 OVER THE HUDSON RIVER,ULSTER,NY,USA,,41.98,-73.95,"(41.98, -73.95)",POINT (-73.95 41.98)
Industrial,NY0281549,WEST POINT TARGET HILL WWTP,Surface,,RIVER RD|S OF TARGET HILL ATHLETIC FIELD,WEST POINT,NY,USA,10996,41.40,-73.97,"(41.4, -73.97)",POINT (-73.97 41.4)
Industrial,NY0106780,OMEGA WIRE INC - WILLIAMSTOWN NY FACILITY,Surface,0.02,572 ST RTE 13,WILLIAMSTOWN,NY,USA,13493,43.43,-75.89,"(43.43, -75.89)",POINT (-75.89 43.43)
Industrial,NY0271471,CAITHNESS LONG ISLAND ENERGY CENTER,Ground,,50 ZORN BLVD,SOUTH YAPHANK,NY,USA,11980,40.81,-72.94,"(40.81, -72.94)",POINT (-72.94 40.81)
Industrial,NY0084999,ATLAS COPCO COMPTEC,Surface,0.02,46 SCHOOL RD,VOORHEESVILLE,NY,USA,12186,42.66,-73.94,"(42.66, -73.94)",POINT (-73.94 42.66)
Industrial,NY0226637,TRAX LAUNDROMAT,Ground,,90 RAILROAD AVE,RONKONKOMA,NY,USA,11779,40.81,-73.11,"(40.81, -73.11)",POINT (-73.11 40.81)
Industrial,NY0098779,INTERNATIONAL DUCK RESEARCH COOP,Ground,0.01,192 Old Country Rd,Remsenburg-Speonk,NY,USA,11972,40.83,-72.71,"(40.83, -72.71)",POINT (-72.71 40.83)
Municipal,NY0026786,PORT CHESTER WASTE WATER TREATMENT FACILITY,Surface,6.00,75 FOX ISLAND RD,PORT CHESTER,NY,USA,10573,40.99,-73.66,"(40.99, -73.66)",POINT (-73.66 40.99)
Industrial,NY0266850,Suffolk County Water Authority,Ground,0.09,ENTIRE WATER DISTRICT WIDE,SUFFOLK,NY,USA,,40.96,-72.26,"(40.96, -72.26)",POINT (-72.26 40.96)
Industrial,NY0001031,BUCKEYE TERMINALS LLC - GENEVA TERMINAL,Surface,0.03,459 WEST RIVER RD,GENEVA,NY,USA,14456,42.87,-76.93,"(42.87, -76.93)",POINT (-76.93 42.87)
Municipal,NY0239682,WILLSBORO SEWER DISTRICT NO. 1 WASTEWATER TREATMENT FACILITY,Surface,0.08,76 GILLILAND LN,WILLSBORO,NY,USA,12996,44.37,-73.39,"(44.37, -73.39)",POINT (-73.39 44.37)
Municipal,NY0269328,SPRINGBROOK SHORES WWTP,Surface,0.03,24 LAKESIDE CIR|(OFF RICE RD),ELMA,NY,USA,14059,42.83,-78.66,"(42.83, -78.66)",POINT (-78.66 42.83)
Industrial,NY0008117,PLUM ISLAND ANIMAL DISEASE CTR,Surface,0.15,PLUM ISLAND,PLUM ISLAND,NY,USA,,41.18,-72.21,"(41.18, -72.21)",POINT (-72.21 41.18)
Industrial,NY0202959,BAILEY MANUFACTURING COMPANY LLC,Ground,0.01,10979 BENNETT STATE RD,FORESTVILLE,NY,USA,14062,42.48,-79.17,"(42.48, -79.17)",POINT (-79.17 42.48)
Industrial,NY0269131,LINCOLN WELL FIELD,Surface,0.06,WITTER ST @ LINCOLN,FORT PLAIN,NY,USA,,42.94,-74.62,"(42.94, -74.62)",POINT (-74.62 42.94)
Industrial,NY0279919,HUA HUA LAUNDROMAT YU INC,Ground,0.01,1052 ISLIP AVE,BRENTWOOD,NY,USA,11717,40.77,-73.21,"(40.77, -73.21)",POINT (-73.21 40.77)
Industrial,NY0000523,MOTTS LLP,Surface,1.40,4363 ST RTE 104,WILLIAMSON,NY,USA,14589,43.24,-77.17,"(43.24, -77.17)",POINT (-77.17 43.24)
Industrial,NY0206270,SUFFOLK LAUNDRY SERVICES,Ground,,529 COUNTY RD 39,SOUTHAMPTON,NY,USA,11968,40.90,-72.42,"(40.9, -72.42)",POINT (-72.42 40.9)
Industrial,NY0101583,CUTCO CUTLERY CORPORATION,Surface,0.03,1116 E STATE ST,OLEAN,NY,USA,14760,42.07,-78.41,"(42.07, -78.41)",POINT (-78.41 42.07)
Industrial,NY0259900,ANKA TOOL & DIE CO,Surface,0.01,150 WELLS AVE,CONGERS,NY,USA,10920,41.16,-73.94,"(41.16, -73.94)",POINT (-73.94 41.16)
Industrial,NY0266736,Suffolk County Water Authority,Ground,0.09,ENTIRE WATER DISTRICT WIDE,SUFFOLK,NY,USA,,40.96,-72.26,"(40.96, -72.26)",POINT (-72.26 40.96)
Industrial,NY0025569,MEENAN OIL CO,Surface,,ROA HOOK RD,CORTLANDT,NY,USA,10566,41.30,-73.95,"(41.3, -73.95)",POINT (-73.95 41.3)
Industrial,NY0251453,SCLAFANI PETROLEUM,Surface,,52 CROTON FALLS RD,MAHOPAC,NY,USA,10541,41.38,-73.72,"(41.38, -73.72)",POINT (-73.72 41.38)
Municipal,NY0246972,SENECA COUNTY SEWER DISTRICT #2 (5 PTS CORRECTIONAL WRRF),Surface,0.66,5786 State Route 96|ROMULUS,Romulus,NY,USA,14541,42.74,-76.83,"(42.74, -76.83)",POINT (-76.83 42.74)
Municipal,NY0247782,MONTGOMERY-T STP DIST # 1,Surface,0.15,201 CO RTE 416,MONTGOMERY,NY,USA,12549,41.50,-74.25,"(41.5, -74.25)",POINT (-74.25 41.5)
Industrial,NY0215872,CARTHAGE ENERGY COGEN FACILITY,Surface,22.00,701 W END AVE,CARTHAGE,NY,USA,13619,43.99,-75.62,"(43.99, -75.62)",POINT (-75.62 43.99)
Municipal,NY0066028,SCSD#22 - HAUPPAUGE COUNTY CTR STP,Ground,0.20,725 VETERANS MEMORIAL HWY,HAUPPAUGE,NY,USA,11788,40.83,-73.23,"(40.83, -73.23)",POINT (-73.23 40.83)
Industrial,NY0095389,BUCKEYE ROCHESTER SOUTH TERMINAL,Surface,,675 BROOKS AVE,ROCHESTER,NY,USA,14619,43.13,-77.65,"(43.13, -77.65)",POINT (-77.65 43.13)
Industrial,NY0288021,JUNCO BREWING,Ground,0.00,37 CEMETERY RD,OSWEGO,NY,USA,13126,43.42,-76.54,"(43.42, -76.54)",POINT (-76.54 43.42)
Industrial,NY0249718,MIDDLEBURGH QUARRY,Surface,0.01,4860 ST RTE 30,SCHOHARIE,NY,USA,12157,42.63,-74.32,"(42.63, -74.32)",POINT (-74.32 42.63)
Industrial,NY0006840,BARRETT PAVING BOONVILLE QUARRY,Surface,0.00,ST RTE 12 - E SIDE AT COUNTY LINE,BOONVILLE,NY,USA,13309,43.53,-75.32,"(43.53, -75.32)",POINT (-75.32 43.53)
Municipal,NY0087971,RENSSELAER CO SD 1 WWTP,Surface,24.00,FOOT OF WATER ST,TROY,NY,USA,12180,42.68,-73.71,"(42.68, -73.71)",POINT (-73.71 42.68)
Industrial,NY0072257,SENECA FOODS CORP,Both,1.07,100 GAMBEE RD,GENEVA,NY,USA,14456,42.89,-76.98,"(42.89, -76.98)",POINT (-76.98 42.89)
Municipal,NY0090867,CUYLER - T  SD #1,Ground,0.01,6891 MAIN ST,CUYLER,NY,USA,13050,42.74,-75.95,"(42.74, -75.95)",POINT (-75.95 42.74)
Industrial,NY0213730,ITHACA TOMPKINS INTERNATIONAL AIRPORT,Surface,0.06,72 BROWN RD,ITHACA,NY,USA,14850,42.49,-76.46,"(42.49, -76.46)",POINT (-76.46 42.49)
Industrial,NY0070777,SM Marketing Brier Hill,Surface,0.00,2522 ST RTE 37,BRIER HILL,NY,USA,13614,44.52,-75.66,"(44.52, -75.66)",POINT (-75.66 44.52)
Industrial,NY0006297,BAYSIDE FUEL OIL DEPOT-1776 SHORE PKWY,Surface,,1776 SHORE PKWY,BROOKLYN,NY,USA,11214,40.59,-74.00,"(40.59, -74.0)",POINT (-74 40.59)
Industrial,NY0001988,FORMER CARBORUNDUM COMPLEX,Surface,0.18,2040 CORY RD,SANBORN,NY,USA,14132,43.13,-78.94,"(43.13, -78.94)",POINT (-78.94 43.13)
Municipal,NY0023639,OAKFIELD - V STP,Surface,0.50,19 IRVING PKWY,OAKFIELD,NY,USA,14125,43.07,-78.27,"(43.07, -78.27)",POINT (-78.27 43.07)
Municipal,NY0160971,BYRON SD STP,Surface,0.08,ST RTE 237 - W SIDE - OPPOSITE MILL POND RD,BYRON,NY,USA,14422,43.08,-78.07,"(43.08, -78.07)",POINT (-78.07 43.08)
Municipal,NY0029076,CLARK MILLS SEWAGE TREATMENT PLANT,Surface,0.50,TREATMENT PLANT ACCESS ROAD OFF OF WESTMORELAND RD,CLARK MILLS,NY,USA,13321,43.09,-75.38,"(43.09, -75.38)",POINT (-75.38 43.09)
Municipal,NY0026638,ITHACA AREA WASTEWATER TREATMENT FAC,Surface,13.10,525 THIRD ST,ITHACA,NY,USA,14850,42.45,-76.51,"(42.45, -76.51)",POINT (-76.51 42.45)
Industrial,NY0271608,HERON HILL WINERY,Ground,,9301 CO RTE 76,HAMMONDSPORT,NY,USA,,42.45,-77.20,"(42.45, -77.2)",POINT (-77.2 42.45)
Industrial,NY0195987,BRISTOL COMMACK,Ground,0.00,49 MALL DR,COMMACK,NY,USA,11725,40.82,-73.28,"(40.82, -73.28)",POINT (-73.28 40.82)
Industrial,NY0249700,DEPOSIT MAINTENANCE PATROL,Surface,0.00,ST RTE 10 - W SIDE - NE OF ST RTE 17,DEPOSIT,NY,USA,13754,42.05,-75.41,"(42.05, -75.41)",POINT (-75.41 42.05)
Industrial,NY0226327,LAUNDRY PALACE,Ground,,1668 NEW YORK AVE,HUNTINGTON STATION,NY,USA,11746,40.84,-73.41,"(40.84, -73.41)",POINT (-73.41 40.84)
Industrial,NY0105511,AW MACK MANUFACTURING CO INC,Surface,0.00,1098 DUTCHESS TPKE,POUGHKEEPSIE,NY,USA,12603,41.72,-73.86,"(41.72, -73.86)",POINT (-73.86 41.72)
Industrial,NY0264202,SULLIVAN CO DPW--BARRYVILLE SHOP,Surface,0.00,450 ST RTE 55,BARRYVILLE,NY,USA,12719,41.51,-74.89,"(41.51, -74.89)",POINT (-74.89 41.51)
Municipal,NY0024384,DANSVILLE - V WWTP,Surface,1.50,2 COMMERCE RD @ CANASERAGA CK,DANSVILLE,NY,USA,14437,42.57,-77.72,"(42.57, -77.72)",POINT (-77.72 42.57)
Industrial,NY0006823,SHELL OIL PRODUCTS US - LONG ISLAND TERMINAL,Surface,0.36,74 EAST AVE,LAWRENCE,NY,USA,11559,40.63,-73.74,"(40.63, -73.74)",POINT (-73.74 40.63)
Municipal,NY0245062,FORT BREWERTON SD WWTP,Surface,0.13,W OF US RTE 11 & N OF ONEIDA RIVER,HASTINGS,NY,USA,13076,43.25,-76.15,"(43.25, -76.15)",POINT (-76.15 43.25)
Industrial,NY0242659,DUANESBURG DOT RTE 7,Surface,0.00,4005 Western Tpke (RTE 7),DUANESBURG,NY,USA,12056,42.76,-74.11,"(42.76, -74.11)",POINT (-74.11 42.76)
Industrial,NY0220621,BAYPORT SHOPPES LAUDROMAT,Ground,0.02,885 MONTAUK HWY,BAYPORT,NY,USA,11705,40.75,-73.05,"(40.75, -73.05)",POINT (-73.05 40.75)
Industrial,NY0124788,TROY OAKWOOD SERVICE CENTER,Surface,0.00,OAKWOOD AVE,LANSINGBURGH,NY,USA,12182,42.76,-73.66,"(42.76, -73.66)",POINT (-73.66 42.76)
Industrial,NY0110043,PVS CHEMICAL SOLUTIONS INC,Surface,10.00,55 LEE ST,BUFFALO,NY,USA,14210,42.86,-78.84,"(42.86, -78.84)",POINT (-78.84 42.86)
Industrial,NY0256455,HAMLET OF ESSEX WATER FILTRATION PLANT,Surface,,20 BEGGS POINT ST,ESSEX,NY,USA,12936,44.31,-73.35,"(44.31, -73.35)",POINT (-73.35 44.31)
Industrial,NY0106992,RAVENA - V WTR TRT PLT,Surface,0.04,FILTRATION PLANT RD,RAVENA,NY,USA,12143,42.47,-73.82,"(42.47, -73.82)",POINT (-73.82 42.47)
Municipal,NY0030597,BAINBRIDGE - V STP,Surface,0.32,WALNUT AVE,BAINBRIDGE,NY,USA,13733,42.29,-75.48,"(42.29, -75.48)",POINT (-75.48 42.29)
Municipal,NY0025798,OWEGO - T STP 2,Surface,2.00,1319 E MAIN ST,APALACHIN,NY,USA,13732,42.07,-76.15,"(42.07, -76.15)",POINT (-76.15 42.07)
Industrial,NY0234141,TANDEM TRUCK FACILITY RELOCATION,Surface,0.00,INTERCHANGE 15 ON NYS THRUWAY,RAMAPO,NY,USA,,41.14,-74.18,"(41.14, -74.18)",POINT (-74.18 41.14)
Industrial,NY0004278,SAVONA LPG FACILITY,Surface,0.02,7535 EAGLE VALLEY RD,SAVONA,NY,USA,14879,42.31,-77.25,"(42.31, -77.25)",POINT (-77.25 42.31)
Industrial,NY0247901,FALLSBURG TERMINALS,Surface,,GLEN WILD RD,WOODRIDGE,NY,USA,12789,41.67,-74.58,"(41.67, -74.58)",POINT (-74.58 41.67)
Municipal,NY0022586,HIGHLAND FALLS WWTP,Surface,1.35,ROSE DR & HUDSON RIVER,HIGHLAND FALLS,NY,USA,10928,41.35,-73.97,"(41.35, -73.97)",POINT (-73.97 41.35)
Industrial,NY0001538,ROCHESTER WEST TERMINAL,Ground,0.00,1975 LYELL AVE,ROCHESTER,NY,USA,14606,43.16,-77.68,"(43.16, -77.68)",POINT (-77.68 43.16)
Industrial,NY0227200,ROBO CAR WASH PROPERTY,Ground,,601 MONTAUK HWY,EAST PATCHOGUE,NY,USA,11772,40.77,-72.99,"(40.77, -72.99)",POINT (-72.99 40.77)
Industrial,NY0088188,COLONIE LOCOMOTIVE SHOPS,Surface,0.41,FIFTH ST,COLONIE,NY,USA,12189,42.71,-73.72,"(42.71, -73.72)",POINT (-73.72 42.71)
Industrial,NY0075035,VALLEY VIEW CO-OP,Ground,0.01,6028 US RTE 62,CONEWANGO VALLEY,NY,USA,14726,42.26,-79.03,"(42.26, -79.03)",POINT (-79.03 42.26)
Industrial,NY0232050,S & D PETROLEUM,Surface,0.00,2761 ST RTE 26,CINCINNATUS,NY,USA,13040,42.54,-75.90,"(42.54, -75.9)",POINT (-75.9 42.54)
Industrial,NY0003824,AMPHENOL CORP - AEROSPACE OPERATIONS,Surface,1.35,40-60 DELAWARE AVE,SIDNEY,NY,USA,13838,42.31,-75.40,"(42.31, -75.4)",POINT (-75.4 42.31)
