Plant Type,SPDES Permit Number,Facility Name,Ground or Surface,Average Design Hydraulic Flow,Street,City,State,Country,Zip Code,Latitude,Longitude,Location 1,Georeference
Industrial,NY0094251,ALLIED WASTE NIAGARA FALLS LANDFILL,Surface,0.40,56TH ST & NIAGARA FALLS BLVD,NIAGARA FALLS,NY,USA,14304,43.10,-78.99,"(43.1, -78.99)",POINT (-78.99 43.1)
Industrial,NY0108880,RIVERHEAD OPERATIONS CENTER,Ground,0.27,600 DOCTORS PATH,RIVERHEAD,NY,USA,11901,40.94,-72.65,"(40.94, -72.65)",POINT (-72.65 40.94)
Industrial,NY0102148,MOHAWK VIEW WATER TREATMENT PLANT,Surface,0.38,100 ONDERDONK RD|(COORDINATES FOR STP CENTROID),LATHAM,NY,USA,12110,42.79,-73.78,"(42.79, -73.78)",POINT (-73.78 42.79)
Industrial,NY0229512,ARKPORT BULK PLANT,Surface,,66 WEST ST,ARKPORT,NY,USA,14807,42.40,-77.70,"(42.4, -77.7)",POINT (-77.7 42.4)
Municipal,NY0251739,VILLAGE OF BROADALBIN WWTF,Surface,0.15,S SECOND AVE,BROADALBIN,NY,USA,12025,43.05,-74.20,"(43.05, -74.2)",POINT (-74.2 43.05)
Industrial,NY0233528,GOSHEN WATER FILTRATION PLANT,Surface,0.02,76 LOWER RESERVOIR RD,GOSHEN,NY,USA,10924,41.38,-74.33,"(41.38, -74.33)",POINT (-74.33 41.38)
Municipal,NY0204846,SOUTH DAYTON STP,Surface,0.08,RAILROAD ST EXT,SOUTH DAYTON,NY,USA,14138,42.36,-79.05,"(42.36, -79.05)",POINT (-79.05 42.36)
Industrial,NY0267724,EXXONMOBIL GREENPOINT REMEDIATION PROJECT,Surface,0.15,"400, 410 KINGSLAND AVE",BROOKLYN,NY,USA,11222,40.73,-73.94,"(40.73, -73.94)",POINT (-73.94 40.73)
Industrial,NY0237035,RONKONKOMA LAUNDROMAT,Ground,,404 ROSEVALE AVE|SCTM# 500-21-1-37,RONKONKOMA,NY,USA,11751,40.82,-73.13,"(40.82, -73.13)",POINT (-73.13 40.82)
Industrial,NY0088005,BEGNAL MOTORS CAR DEALERSHIP,Surface,0.00,129 ST RTE 28,KINGSTON,NY,USA,12401,41.95,-74.03,"(41.95, -74.03)",POINT (-74.03 41.95)
Industrial,NY0104817,F H STICKLES MINE - LIVINGSTON,Ground,0.07,2590 US Rte 9,Livingston,NY,USA,12534,42.13,-73.79,"(42.13, -73.79)",POINT (-73.79 42.13)
Industrial,NY0108651,GLOBAL COMPANIES LLC - GLENWOOD TERMINAL,Surface,0.02,300 SHORE RD,GLENWOOD LANDING,NY,USA,11547,40.83,-73.65,"(40.83, -73.65)",POINT (-73.65 40.83)
Industrial,NY0263991,MAHOPAC SCHOOL DISTRICT BUS GARAGE,Surface,,90 MYRTLE AVE,MAHOPAC,NY,USA,10541,41.37,-73.76,"(41.37, -73.76)",POINT (-73.76 41.37)
Municipal,NY0099091,WATERTOWN (T) SD #1 WWTF,Surface,0.06,HOLCOMB ST|SUNSET RIDGE,WATERTOWN,NY,USA,13601,43.96,-75.94,"(43.96, -75.94)",POINT (-75.94 43.96)
Industrial,NY0260495,EAST GLENVILLE FIRE STATION,Surface,0.00,431-435 SARATOGA RD,SCHENECTADY,NY,USA,12302,42.88,-73.93,"(42.88, -73.93)",POINT (-73.93 42.88)
Industrial,NY0261912,PILOT TRAVEL CENTERS LLC #380,Surface,,107 SEVENTH NORTH ST,LIVERPOOL,NY,USA,13088,43.09,-76.17,"(43.09, -76.17)",POINT (-76.17 43.09)
Industrial,NY0030872,SPRAGUE RESOURCES INWOOD FACILITY,Surface,0.00,555 DOUGHTY BLVD,INWOOD,NY,USA,11696,40.63,-73.75,"(40.63, -73.75)",POINT (-73.75 40.63)
Municipal,NY0023523,GREATER ATLANTIC BEACH WASTEWATER TREATMENT PLANT,Surface,1.50,"2150 BAY BLVD|NCTM  58-3-8,9,40,41,110,201",ATLANTIC BEACH,NY,USA,11509,40.59,-73.74,"(40.59, -73.74)",POINT (-73.74 40.59)
Industrial,NY0248185,MORIELLO POOL,Surface,0.00,32 MULBERRY ST,NEW PALTZ,NY,USA,12561,41.75,-74.08,"(41.75, -74.08)",POINT (-74.08 41.75)
